date,location,population,new_cases,total_cases,new_deaths,total_deaths,new_vaccinations,total_vaccinations,moving_avg_7d,cases_per_100k,vaccination_pct,case_fatality_rate
2020-01-01,Kosovo,1800000,626,626,7,7,0,0,626.0,34.78,0.0,1.118
2020-01-02,Kosovo,1800000,622,1248,8,15,0,0,624.0,69.33,0.0,1.202
2020-01-03,Kosovo,1800000,598,1846,7,22,0,0,615.3,102.56,0.0,1.192
2020-01-04,Kosovo,1800000,623,2469,7,29,0,0,617.2,137.17,0.0,1.175
2020-01-05,Kosovo,1800000,579,3048,7,36,0,0,609.6,169.33,0.0,1.181
2020-01-06,Kosovo,1800000,571,3619,6,42,0,0,603.2,201.06,0.0,1.161
2020-01-07,Kosovo,1800000,576,4195,6,48,0,0,599.3,233.06,0.0,1.144
2020-01-08,Kosovo,1800000,535,4730,6,54,0,0,586.3,262.78,0.0,1.142
2020-01-09,Kosovo,1800000,541,5271,6,60,0,0,574.7,292.83,0.0,1.138
2020-01-10,Kosovo,1800000,537,5808,5,65,0,0,566.0,322.67,0.0,1.119
2020-01-11,Kosovo,1800000,573,6381,6,71,0,0,558.9,354.5,0.0,1.113
2020-01-12,Kosovo,1800000,542,6923,5,76,0,0,553.6,384.61,0.0,1.098
2020-01-13,Kosovo,1800000,525,7448,6,82,0,0,547.0,413.78,0.0,1.101
2020-01-14,Kosovo,1800000,507,7955,6,88,0,0,537.1,441.94,0.0,1.106
2020-01-15,Kosovo,1800000,511,8466,6,94,0,0,533.7,470.33,0.0,1.11
2020-01-16,Kosovo,1800000,505,8971,6,100,0,0,528.6,498.39,0.0,1.115
2020-01-17,Kosovo,1800000,509,9480,5,105,0,0,524.6,526.67,0.0,1.108
2020-01-18,Kosovo,1800000,517,9997,5,110,0,0,516.6,555.39,0.0,1.1
2020-01-19,Kosovo,1800000,500,10497,5,115,0,0,510.6,583.17,0.0,1.096
2020-01-20,Kosovo,1800000,466,10963,5,120,0,0,502.1,609.06,0.0,1.095
2020-01-21,Kosovo,1800000,496,11459,6,126,0,0,500.6,636.61,0.0,1.1
2020-01-22,Kosovo,1800000,474,11933,5,131,0,0,495.3,662.94,0.0,1.098
2020-01-23,Kosovo,1800000,443,12376,5,136,0,0,486.4,687.56,0.0,1.099
